gold,lang,variant,input,nlp_resolved,nlp_source,nlp_latency_ms,nlp_correct,e2e_verified,e2e_elapsed_sec,dispatched_count,write_source_cleanup_note
roof,tr,a_direct_tr,çatıya not ekle,roof,rules,0.01,True,True,0.56,2,
roof,en,b_direct_en,add a note to the roof,roof,rules,0.01,True,True,0.54,2,
roof,tr,c_synonym,çatıların açıklamasına yaz,roof,rules,0.01,True,True,0.53,2,
roof,tr,d_no_accent,cati elemanlarina yorum ekle,roof,rules,0.01,True,True,1.07,2,
roof,tr,e_oov_tr,binanın üst kapağına bir açıklama gir,ceiling,ollama,7026.16,False,True,0.54,2,
roof,en,f_oov_en,annotate the top covering element of the building,roof,ollama,2575.93,True,True,1.04,2,
roof,en,g_indirect,mark the element that sheds rainwater,roof,ollama,2692.82,True,True,0.54,2,
wall,tr,a_direct_tr,duvara yorum yaz,wall,rules,0.01,True,True,0.55,56,
wall,en,b_direct_en,write a comment on the wall,wall,rules,0.01,True,True,0.55,56,
wall,tr,c_synonym,bölme elemanlarına not ekle,,unresolved,2550.34,False,,,0,no_category_resolved
wall,tr,d_no_accent,duvar elemanlarina aciklama ekle,wall,rules,0.01,True,True,0.55,56,
wall,tr,e_oov_tr,dikey taşıyıcı kaplamalara bilgi gir,column,ollama,2434.33,False,True,1.04,3,
wall,en,f_oov_en,annotate the vertical partitions,wall,ollama,2583.65,True,True,0.54,56,
wall,en,g_indirect,label the enclosing vertical surfaces,wall,ollama,2650.79,True,True,1.04,56,
floor,tr,a_direct_tr,döşeme üzerine not ekle,floor,rules,0.01,True,True,0.52,8,
floor,en,b_direct_en,add a note to the floor,floor,rules,0.01,True,True,0.55,8,
floor,tr,c_synonym,zemin plakalarına yorum yaz,floor,rules,0.01,True,True,0.08,8,
floor,tr,d_no_accent,doseme elemanlarina aciklama ekle,floor,rules,0.01,True,True,0.54,8,
floor,tr,e_oov_tr,yatay taşıyıcı levhalara açıklama gir,beam,ollama,2701.05,False,False,,0,no_elements_of_category_in_model
floor,en,f_oov_en,annotate the horizontal slab elements,floor,ollama,2572.68,True,True,0.55,8,
floor,en,g_indirect,tag the surfaces you walk on,floor,ollama,2606.26,True,True,1.07,8,
door,tr,a_direct_tr,kapıya yorum ekle,door,rules,0.01,True,True,0.56,16,
door,en,b_direct_en,annotate the doors,door,rules,0.01,True,True,0.54,16,
door,tr,c_synonym,giriş kanatlarına not yaz,,unresolved,2675.77,False,,,0,no_category_resolved
door,tr,d_no_accent,kapi elemanlarina aciklama yaz,door,rules,0.01,True,True,1.03,16,
door,tr,e_oov_tr,açılan geçit elemanlarına bilgi gir,door,ollama,2707.48,True,True,1.05,16,
door,en,f_oov_en,annotate the hinged passage elements,door,ollama,2623.01,True,True,0.55,16,
door,en,g_indirect,tag the elements people walk through,door,ollama,2700.9,True,True,1.04,16,
window,tr,a_direct_tr,pencereye not yaz,window,rules,0.1,True,True,0.54,17,
window,en,b_direct_en,add a comment to the windows,window,rules,0.01,True,True,1.06,17,
window,tr,c_synonym,cam açıklıklara yorum ekle,,unresolved,2775.61,False,,,0,no_category_resolved
