gold,lang,variant,input,nlp_resolved,nlp_source,nlp_latency_ms,nlp_correct,e2e_verified,e2e_elapsed_sec,dispatched_count,write_source_cleanup_note
roof,tr,a_direct_tr,çatıya not ekle,roof,rules,0.01,True,True,1.04,2,
roof,en,b_direct_en,add a note to the roof,roof,rules,0.01,True,True,0.55,2,
roof,tr,c_synonym,çatıların açıklamasına yaz,roof,rules,0.01,True,True,1.04,2,
roof,tr,d_no_accent,cati elemanlarina yorum ekle,roof,rules,0.01,True,True,0.52,2,
roof,tr,e_oov_tr,binanın üst kapağına bir açıklama gir,ceiling,ollama,3519.36,False,True,1.05,2,
roof,en,f_oov_en,annotate the top covering element of the building,roof,ollama,2597.45,True,True,1.04,2,
roof,en,g_indirect,mark the element that sheds rainwater,roof,ollama,2733.96,True,True,0.56,2,
wall,tr,a_direct_tr,duvara yorum yaz,wall,rules,0.01,True,True,0.56,56,
wall,en,b_direct_en,write a comment on the wall,wall,rules,0.01,True,True,0.55,56,
wall,tr,c_synonym,bölme elemanlarına not ekle,,unresolved,2728.32,False,,,0,no_category_resolved
wall,tr,d_no_accent,duvar elemanlarina aciklama ekle,wall,rules,0.01,True,True,1.05,56,
wall,tr,e_oov_tr,dikey taşıyıcı kaplamalara bilgi gir,column,ollama,2634.94,False,True,1.06,3,
wall,en,f_oov_en,annotate the vertical partitions,wall,ollama,2710.36,True,True,0.52,56,
wall,en,g_indirect,label the enclosing vertical surfaces,wall,ollama,2651.8,True,True,1.04,56,
floor,tr,a_direct_tr,döşeme üzerine not ekle,floor,rules,0.01,True,True,0.06,8,
floor,en,b_direct_en,add a note to the floor,floor,rules,0.01,True,True,0.54,8,
floor,tr,c_synonym,zemin plakalarına yorum yaz,floor,rules,0.01,True,True,0.56,8,
floor,tr,d_no_accent,doseme elemanlarina aciklama ekle,floor,rules,0.01,True,True,0.56,8,
floor,tr,e_oov_tr,yatay taşıyıcı levhalara açıklama gir,beam,ollama,2689.15,False,False,,0,no_elements_of_category_in_model
floor,en,f_oov_en,annotate the horizontal slab elements,floor,ollama,2596.06,True,True,0.54,8,
floor,en,g_indirect,tag the surfaces you walk on,floor,ollama,2565.28,True,True,1.04,8,
door,tr,a_direct_tr,kapıya yorum ekle,door,rules,0.01,True,True,0.56,16,
door,en,b_direct_en,annotate the doors,door,rules,0.01,True,True,0.56,16,
door,tr,c_synonym,giriş kanatlarına not yaz,,unresolved,2651.65,False,,,0,no_category_resolved
door,tr,d_no_accent,kapi elemanlarina aciklama yaz,door,rules,0.01,True,True,1.05,16,
door,tr,e_oov_tr,açılan geçit elemanlarına bilgi gir,door,ollama,2697.59,True,True,0.53,16,
door,en,f_oov_en,annotate the hinged passage elements,door,ollama,2638.34,True,True,1.04,16,
door,en,g_indirect,tag the elements people walk through,door,ollama,2729.54,True,True,0.56,16,
window,tr,a_direct_tr,pencereye not yaz,window,rules,0.01,True,True,0.56,17,
window,en,b_direct_en,add a comment to the windows,window,rules,0.01,True,True,0.55,17,
window,tr,c_synonym,cam açıklıklara yorum ekle,,unresolved,2738.76,False,,,0,no_category_resolved
window,tr,d_no_accent,pencere elemanlarina aciklama ekle,window,rules,0.02,True,True,1.06,17,
